season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
3,0,1,20,0,6,1,1,0.63,0.81,0.23,0.45
4,0,1,22,0,0,1,2,0.26,0.59,0.81,0.26
1,0,3,0,0,1,1,1,0.33,0.29,0.88,0.21
3,0,2,2,0,1,0,1,0.82,0.12,0.88,0.22
3,0,5,17,0,5,0,3,0.11,0.8,0.72,0.59
4,1,12,9,0,1,0,2,0.17,0.12,0.29,0.02
1,0,10,21,1,2,0,1,0.27,0.8,0.73,0.52
1,1,6,2,0,4,0,3,0.12,0.52,0.22,0.35
3,0,7,7,0,4,0,2,0.25,0.85,0.22,0.26
2,1,4,13,0,6,0,1,0.57,0.74,0.43,0.44
3,0,7,23,0,0,0,1,0.44,0.9,0.54,0.29
3,0,11,17,0,5,1,2,0.81,0.38,0.74,0.52
3,1,8,14,0,0,0,2,0.75,0.71,0.68,0.54
3,1,11,21,0,1,1,1,0.37,0.42,0.51,0.25
4,1,1,22,0,6,1,2,0.31,0.48,0.39,0.17
1,0,6,1,0,0,1,2,0.4,0.6,0.9,0.36
4,1,8,9,0,2,0,1,0.57,0.8,0.5,0.55
4,0,5,1,0,4,1,1,0.31,0.89,0.52,0.13
4,0,4,16,0,1,1,1,0.6,0.71,0.31,0.37
3,1,2,7,0,6,0,2,0.43,0.43,0.76,0.38
2,1,6,0,0,0,1,1,0.54,0.44,0.69,0.44
1,0,6,8,0,5,1,1,0.45,0.69,0.35,0.08
2,0,11,10,0,2,0,2,0.34,0.29,0.26,0.43
4,1,1,21,0,2,0,2,0.86,0.19,0.68,0.55
4,1,9,15,0,0,1,1,0.71,0.38,0.66,0.11
2,1,12,6,0,4,1,2,0.21,0.33,0.39,0.14
2,0,11,9,0,0,0,1,0.79,0.34,0.87,0.58
2,0,6,22,0,1,0,2,0.49,0.29,0.31,0.11
4,0,3,2,0,0,1,1,0.82,0.13,0.5,0.51
4,0,4,17,0,2,1,1,0.74,0.11,0.86,0.3
1,0,12,23,1,6,1,2,0.44,0.89,0.49,0.15
1,0,11,12,0,0,1,1,0.12,0.44,0.65,0.52
4,1,4,6,0,4,1,1,0.31,0.41,0.48,0.27
2,0,3,3,0,6,1,2,0.53,0.64,0.39,0.31
2,0,10,12,0,5,0,2,0.61,0.27,0.89,0.22
1,0,3,19,0,3,0,2,0.31,0.86,0.49,0.36
4,1,3,0,0,0,1,2,0.21,0.73,0.83,0.1
1,0,4,7,0,4,1,1,0.77,0.17,0.36,0.23
1,0,7,13,0,6,1,1,0.89,0.43,0.35,0.58
3,1,4,15,0,4,1,1,0.52,0.8,0.22,0.15
3,0,9,13,0,5,0,1,0.24,0.86,0.66,0.39
3,0,1,11,0,2,1,3,0.32,0.47,0.46,0.2
2,0,8,18,0,4,1,1,0.11,0.59,0.81,0.46
4,0,7,22,0,6,0,1,0.83,0.23,0.53,0.08
4,0,2,14,0,4,0,1,0.19,0.89,0.88,0.58
4,1,8,1,0,4,1,3,0.56,0.29,0.33,0.27
4,1,1,1,0,4,0,1,0.32,0.85,0.81,0.14
3,1,11,22,0,1,1,1,0.54,0.62,0.74,0.04
2,0,12,21,0,1,0,1,0.62,0.59,0.74,0.1
2,0,9,18,0,2,1,2,0.76,0.51,0.79,0.31
3,0,9,21,0,0,0,1,0.27,0.28,0.73,0.2
2,1,2,21,1,4,1,2,0.11,0.24,0.64,0.5
3,0,7,16,1,5,1,3,0.21,0.28,0.29,0.26
4,0,10,19,0,0,1,1,0.82,0.25,0.22,0.15
3,1,3,9,0,5,1,2,0.8,0.72,0.84,0.37
4,0,7,5,0,0,1,3,0.58,0.38,0.63,0.42
